description,MET
Wheelchair dynamometer - 4.8 km/h #1 #1​ (ID1237),3.6
Wheelchair - slalom course #1 #1​ (ID1238),3.1
Wheeling indoor course 2.57 km/h #1 #1​ (ID1239),1.8
Wheeling indoor course 3.4-3.9 km/h #1 #1​ (ID1240),2.3
Wheeling indoor course 4.5-4.8 km/h #1 #1​ (ID1241),2.2
Wheeling indoor course 5.0-5.5 km/h #1 #1​ (ID1242),2.9
Wheeling indoor course 6.5 km/h #1 #1​ (ID1243),4.8
Wheeling outdoor track 1.5 km/h #1 #1​ (ID1244),2.7
Wheeling outdoor track 2.0 km/h #1 #1​ (ID1245),1.9
Wheeling outdoor track 3.4 km/h #1 #1​ (ID1246),4.0
Wheeling outdoor track 4.0-4.3 km/h #1 #1​ (ID1247),3.8
Wheeling outdoor track 5.5 km/h #1 #1​ (ID1248),4.3
Wheeling outdoor track 6.0 km/h #1 #1​ (ID1249),4.0
Wheeling outdoor track 8.0 km/h #1 #1​ (ID1250),5.9
Wheeling - racing #1 #1​ (ID1251),7.9
Wheeling - Ergometer #1 #1​ (ID1252),3.2
Treadmill Wheeling 2.2-2.9 km/h #1 #1​ (ID1253),2.4
Treadmill Wheeling - 3.0-3.9 km/h #1 #1​ (ID1254),2.8
Treadmill Wheeling - 4.0-4.9 km/h #1 #1​ (ID1255),3.4
Treadmill Wheeling - 5.8 km/h #1 #1​ (ID1256),3.4
Treadmill Wheeling - 6.0 km/h #1 #1​ (ID1257),3.5
Treadmill Wheeling - 7.0-7.9 km/h #1 #1​ (ID1258),4.2
"Treadmill Wheeling - 2.2-2.9 km/h , 4.7% grade #1 #1​ (ID1259)",3.8
"Treadmill Wheeling - 3.6 km/h , 4.7% grade #1 #1​ (ID1260)",4.4
"Treadmill Wheeling - 2.2-2.9 km/h , 6.3% grade #1 #1​ (ID1261)",4.2
"Treadmill Wheeling - 3.6 km/h , 6.3% grade #1 #1​ (ID1262)",5.2
"Treadmill Wheeling - 2.2-2.9 km/h , 8.4% grade #1 #1​ (ID1263)",4.8
"Treadmill Wheeling - 3.6 km/h , 8.4% grade #1 #1​ (ID1264)",5.2
Treadmill Wheeling - 4.0 km/h w/ extra weight #1 #1​ (ID1265),2.1
"Treadmill Wheeling - 4.0 km/h, 2% grade #1 #1​ (ID1266)",2.7
"Treadmill Wheeling - 4.0 km/h, 3% grade #1 #1​ (ID1267)",3.4
Wheeling using Handle-based Propulsion - 15W #1 #1​ (ID1268),2.6
Wheeling using Handle-based Propulsion - 20W #1 #1​ (ID1269),3.6
Wheeling using Handle-based Propulsion - 25W #1 #1​ (ID1270),4.4
Wheeling using Handle-based Propulsion - 30W #1 #1​ (ID1271),5.0
Wheeling using Handle-based Propulsion - 35W #1 #1​ (ID1272),5.3
Wheeling using Handle-based Propulsion - 2.5 to 2.9 km/h #1 #1​ (ID1273),1.8
Wheeling dynamometer w/ PAPAW - 15W #1 #1​ (ID1274),2.3
Wheeling dynamometer w/ PAPAW - 30W #1 #1​ (ID1275),3.5
Wheeling on outdoor course w/PAPAW - 5.4 km/h #1 #1​ (ID1276),3.4
Making Bed #1 #1​ (ID1277),2.2
Dressing/undressing #1 #1​ (ID1278),3.1
Dusting #1 #1​ (ID1279),1.8
Laundry #1 #1​ (ID1280),1.8
Mopping #1 #1​ (ID1281),3.0
"Moving furniture, household items, or boxes #1 #1​ (ID1282)",3.7
Moving items #1 #1​ (ID1283),2.5
Showering #1 #1​ (ID1284),1.9
Vacuuming #1 #1​ (ID1285),2.7
Washing Dishes #1 #1​ (ID1286),1.9
Eating #1 #1​ (ID1287),1.5
Preparing food #1 #1​ (ID1288),1.8
Grocery shopping #1 #1​ (ID1289),1.9
Sweeping floor #1 #1​ (ID1290),2.3
Cleaning Room #1 #1​ (ID1291),1.8
Checking Mail #1 #1​ (ID1292),1.8
Cleaning Car #1 #1​ (ID1293),2.1
Transfer to/from wheelchair #1 #1​ (ID1294),3.1
"Deskwork, light effort #1 #1​ (ID1295)",1.1
Reading #1 #1​ (ID1296),1.2
Watching TV #1 #1​ (ID1297),1.2
Passive Wheeling #1 #1​ (ID1298),1.1
Writing/crossword puzzles #1 #1​ (ID1299),1.3
riding an elevator #1 #1​ (ID1300),1.5
playing with iPAD #1 #1​ (ID1301),1.4
"Filing papers, light effort #1 #1​ (ID1302)",0.8
Computer work #1 #1​ (ID1303),1.2
Basketball #1 #1​ (ID1304),5.1
Basketball - casual #1 #1​ (ID1305),3.2
Billiards #2 #1​ (ID1306),1.8
Bowling #2 #1​ (ID1307),1.8
Darts #1 #1​ (ID1308),2.0
Fencing #1 #1​ (ID1309),7.1
Fishing/casting #1 #1​ (ID1310),1.1
Nordic sit skiing #1 #1​ (ID1311),11.8
Rugby #1 #1​ (ID1312),2.7
Table tennis #1 #1​ (ID1313),2.7
Tennis #1 #1​ (ID1314),4.1
Power Wheelchair Soccer - competitive #1 #1​ (ID1315),1.8
Video gaming #1 #1​ (ID1316),1.5
Playing cards #1 #1​ (ID1317),1.5
"Dance - Modern, torso controlled wheelchair #1 #1​ (ID1318)",2.0
Dance - slow paced #1 #1​ (ID1319),2.0
Dance - fast paced #1 #1​ (ID1320),3.1
Dance - Electric power chair #1 #1​ (ID1321),1.7
Exergaming #1 #1​ (ID1322),2.6
Wheeling - On Carpet #1 #1​ (ID1323),2.5
Wheeling - on Grass #1 #1​ (ID1324),4.0
Wheeling - Outside #1 #1​ (ID1325),2.6
Wheeling - w/ service dog assistance #1 #1​ (ID1326),1.5
"Wheeling outdoor, 8% cross slope #1 #1​ (ID1327)",3.5
"Wheeling outdoor, 12% cross slope #1 #1​ (ID1328)",4.0
Wheeling - on Sidewalk #1 #1​ (ID1329),3.2
Wheeling - self-selected speed #1 #1​ (ID1330),2.9
Driving an automobile #1 #1​ (ID1331),1.8
Wheeling - On Tile #1 #1​ (ID1332),2.2
Wheeling - up Incline #1 #1​ (ID1333),4.0
Wheeling - Downhill #1 #1​ (ID1334),1.8
Age #1 #1​ (ID1335),6.0
Active classroom instruction #1 #1​ (ID1336),4.3
"Broadcast calisthenics—""colorful sunshine"" #1 #1​ (ID1337)",4.0
"Broadcast calisthenics—""flourishing youth"" #1 #1​ (ID1338)",4.1
"Broadcast calisthenics—""flying ideal"" #1 #1​ (ID1339)",3.6
"Broadcast calisthenics—""hopeful sail"" #1 #1​ (ID1340)",3.8
Calisthenics—light #1 #1​ (ID1341),4.0
Gymnastics #1 #1​ (ID1342),2.7
Jumping jacks #1 #1​ (ID1343),4.6
Radio gymnastics #1 #1​ (ID1344),3.5
Strength exercises—curl-ups #1 #1​ (ID1345),2.4
Strength exercises—push-ups #1 #1​ (ID1346),3.9
Hand weights exercises #1 #1​ (ID1347),3.0
Strength exercises—bench press #1 #1​ (ID1348),2.0
Strength exercises—leg press #1 #1​ (ID1349),2.6
Basketball—game #1 #1​ (ID1350),6.7
Basketball—shooting and retrieving a basketball continuously #1 #1​ (ID1351),5.9
Basketball game #1 #1​ (ID1352),4.9
Bowling—game #1 #1​ (ID1353),5.2
Boxing—punching bag and gloves #1 #1​ (ID1354),4.9
Catch/throw ball #1 #1​ (ID1355),4.1
Golf—game #1 #1​ (ID1356),4.0
Handball #1 #1​ (ID1357),5.4
Swimming—200m #1 #1​ (ID1358),10.6
Swimming—front crawl 0.9 m/s #1 #1​ (ID1359),9.7
Swimming—self-selected pace #1 #1​ (ID1360),9.5
